EcoID,Crop,CommonName,SearchScientName,ScientNameClean,Family,MonfredaFileName,MonfredaCropName,Search,GROUP,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,KTMP,GMIN,GMAX,Comment,Selected
1689,pimento,Pimento,Pimenta,Pimenta dioica,Myrtaceae,pimento,Pimento,pimento,other,15,32,10,35,1500,2500,1000,3500,0,150,365,,0
1714,pepper,"Pepper, black or white",Piper,Piper nigrum,Piperaceae,pepper,Pepper,pepper,other,22,35,10,40,2500,4000,2000,5500,0,180,270,,0
1721,pea,Pea,Pisum,Pisum sativum,Fabaceae,pea,"Peas, Dry",pea,vegetables,10,24,4,30,800,1200,350,2500,0,60,140,,0
1796,peachetc,Peach,Prunus,Prunus persica,Rosaceae,peachetc,Peaches and Nectarines,peach,fruit,20,33,7,35,900,1100,750,1600,-5,240,270,,0
1832,pear,Pear,Pyrus,Pyrus communis,Rosaceae,pear,Pears,pear,fruit,20,35,10,37,600,900,400,2100,-9,180,270,,0
1866,castor,Castor,Ricinus,Ricinus communis,Euphorbiaceae,castor,Castor Beans,castor,oil crops,20,30,15,39,600,1000,400,2000,0,140,210,,0
1884,sugarcane,Sugarcane,Saccharum,Saccharum officinarum,Gramineae,sugarcane,Sugar Cane,sugarcane,sugar crops,24,37,15,41,1500,2000,1000,5000,0,210,365,,0
1929,rye,Rye,Secale,Secale cereale,Gramineae,rye,Rye,rye,cereals,15,20,3,31,600,1000,400,2000,-1,110,270,,0
1937,sesame,Sesame seed,Sesamum,Sesamum indicum,Pedaliaceae,sesame,Sesame Seed,sesame,oil crops,20,30,10,40,500,1000,300,1500,0,40,180,,0
1965,eggplant,Eggplant,Solanum,Solanum melongena,Solanaceae,eggplant,Eggplants,eggplant,vegetables,20,35,9,40,1200,1600,800,4000,0,70,120,,0
1971,potato,Potato,Solanum,Solanum tuberosum,Solanaceae,potato,Potatoes,potato,roots and tubers,15,25,7,30,500,800,250,2000,0,90,160,,1
1997,spinach,Spinach,Spinacia,Spinacia oleracea,Chenopodiaceae,spinach,Spinach,spinach,vegetables,13,20,2,27,800,1200,300,1700,0,40,120,,0
2074,cocoa,Cacao,Theobroma,Theobroma cacao,Malvaceae,cocoa,Cocoa Beans,cacao,other,21,32,10,38,1200,3000,900,7600,0,180,365,,0
2074,cocoa,Cacao,Theobroma,Theobroma cacao,Malvaceae,cocoa,Cocoa Beans,cocoa,other,21,32,10,38,1200,3000,900,7600,0,180,365,,0
2099,peppermint,Peppermint,Mentha,Mentha piperita,Labiatae,peppermint,Peppermint,peppermint,other,15,25,4,35,1000,2200,700,4000,0,40,330,,0
