"x","y","crop"
-104.5419685,24.0419305,"bean"
35.4574715,-3.7912915,"bean"
32.0408185,-16.2079085,"bean"
76.0406425,16.0419625,"bean"
80.7906235,22.4586035,"bean"
81.8739525,26.7085865,"bean"
-45.3755385,-21.6245535,"bean"
77.8739685,21.0419425,"bean"
110.6238375,-6.87461250000001,"bean"
34.7908075,0.37535849999999,"bean"
29.9574935,-4.79128750000001,"bean"
84.4572755,19.7086145,"bean"
77.7073025,19.0419505,"bean"
-90.4586915,14.8753005,"bean"
-106.7086265,29.2085765,"bean"
74.3739825,27.2085845,"bean"
32.2074845,3.5420125,"bean"
71.9573255,23.6252655,"bean"
32.6241495,3.62534549999999,"bean"
-107.4586235,28.5419125,"bean"
-42.9588815,-9.2079365,"bean"
33.1241475,-16.7912395,"bean"
77.8739685,12.7086425,"bean"
-89.8753605,14.0419705,"bean"
-49.1255235,-25.8745365,"bean"
-39.2922295,-14.9579135,"bean"
76.3739745,11.9586455,"bean"
31.3741545,-15.9579095,"bean"
-51.9588455,-25.2078725,"bean"
33.6241455,-16.2912415,"bean"
73.5406525,27.3752505,"bean"
0.0409465000000182,10.8753165,"bean"
-108.2919535,25.6252575,"bean"
-37.1255715,-7.29127750000001,"bean"
30.1241595,-2.45796350000001,"bean"
34.3741425,-14.2079165,"bean"
78.7906315,18.0419545,"bean"
74.8739805,27.6252495,"bean"
29.5408285,-3.29129350000001,"bean"
83.3739465,18.2086205,"bean"
125.1237795,38.2918735,"bean"
94.8739005,17.2086245,"bean"
74.3739825,27.8752485,"bean"
29.5408285,-1.20796850000001,"bean"
96.7072265,25.2919255,"bean"
13.8742245,-13.2079205,"bean"
78.5406325,17.8752885,"bean"
10.8742365,6.6253335,"bean"
85.3739385,20.3752785,"bean"
-92.4586835,17.3752905,"bean"
-42.8755485,-14.4579155,"bean"
94.9572335,20.4586115,"bean"
74.2073165,23.5419325,"bean"
10.6242375,6.2086685,"bean"
32.7074825,2.45868349999999,"bean"
82.7072825,20.9586095,"bean"
37.2907975,-1.3746345,"bean"
78.2906335,25.7085905,"bean"
96.7072265,16.7086265,"bean"
76.2906415,12.0419785,"bean"
-101.0419825,21.7086065,"bean"
75.0406465,29.0419105,"bean"
35.2074725,-15.4579115,"bean"
33.9574775,-10.0412665,"bean"
95.2905655,19.9586135,"bean"
35.2908055,0.292025499999994,"bean"
76.1239755,13.6253055,"bean"
