"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
17370972,"201130523","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371271,"136612402","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","Ukraine","UA","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371273,"136612468","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371275,"136612501","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371282,"136612699","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371283,"136612729","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371286,"136612798","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","United States","US","\N","\N","NO","Gene Pool","Primary","Sorghum"
17371471,"91934553","USDA NPGS","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","Iran","IR","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17371472,"91934586","USDA NPGS","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","Australia","AU","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17371480,"91935084","USDA NPGS","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","India","IN","11.25","77.333333","YES","Gene Pool","Secondary","Sorghum"
17371867,"91934549","USDA NPGS","G","native","Sorghum_intrans","Poaceae","Sorghum","intrans","\N","\N","\N","\N","Australia","AU","\N","\N","NO","Gene Pool","Tertiary","Sorghum"
17371869,"91934585","USDA NPGS","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","Australia","AU","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17372378,"47410198","SINGER","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","India","IN","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17372379,"47410228","SINGER","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","Italy","IT","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17372381,"47410264","SINGER","G","native","Sorghum_purpureosericeum","Poaceae","Sorghum","purpureosericeum","\N","\N","\N","\N","United States","US","\N","\N","NO","Gene Pool","Tertiary","Sorghum"
17374404,"201130492","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","Russia","RU","\N","\N","NO","Gene Pool","Primary","Sorghum"
17374405,"201130519","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","Israel","IL","\N","\N","NO","Gene Pool","Primary","Sorghum"
17374406,"201130522","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17374419,"208588786","ITA303","G","\N","Sorghum_bicolor_subsp._verticilliflorum","Poaceae","Sorghum","bicolor","subsp.","verticilliflorum","\N","\N","Mali","ML","19.5","2.5","YES","Gene Pool","Primary","Sorghum"
17375457,"136611936","EURISCO","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","Hungary","HU","47.3667","19.8833","YES","Gene Pool","Secondary","Sorghum"
17375463,"136612401","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","France","FR","\N","\N","NO","Gene Pool","Primary","Sorghum"
17375465,"136612467","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17375473,"136612698","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17375474,"136612728","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17375475,"136612731","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17375477,"136612797","EURISCO","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","\N","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
17377208,"50487323","SINGER","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","India","IN","20.54","74.46","YES","Gene Pool","Secondary","Sorghum"
17377455,"50503070","SINGER","G","\N","Sorghum_bicolor_subsp._verticilliflorum","Poaceae","Sorghum","bicolor","subsp.","verticilliflorum","\N","\N","Niger","NE","\N","\N","NO","Gene Pool","Primary","Sorghum"
17377547,"47410194","SINGER","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","United States","US","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17377549,"47410257","SINGER","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","South Africa","ZA","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17378080,"231074124","EURISCO","G","native","Sorghum_halepense","Poaceae","Sorghum","halepense","\N","\N","\N","\N","Nigeria","NG","\N","\N","NO","Gene Pool","Secondary","Sorghum"
17378211,"231077295","EURISCO","G","native","Sorghum_timorense","Poaceae","Sorghum","timorense","\N","\N","\N","\N","Australia","AU","\N","\N","NO","Gene Pool","Tertiary","Sorghum"
